,COUNTRY,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,NUMBER_VACCINES_TYPES_USED
130,Mexico,82678717,56925095.0,64.13,44.15,32278249.0,25.04,"AstraZeneca - Vaxzevria,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",7.0
131,Micronesia (Federated States of),62016,39197.0,53.92,34.08,33409.0,29.05,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",4.0
132,Monaco,47882,25930.0,122.01,66.07,21952.0,55.94,Pfizer BioNTech - Comirnaty,1.0
133,Mongolia,4282954,2226428.0,130.65,67.91,2051560.0,62.58,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield",6.0
134,Montenegro,394420,210591.0,62.8,33.53,183829.0,29.27,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Gamaleya - Sputnik V",4.0
135,Montserrat,2828,1460.0,56.57,29.21,1368.0,27.37,AstraZeneca - Vaxzevria,1.0
136,Morocco,33319941,18539073.0,90.27,50.23,14780868.0,40.05,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5",4.0
137,Mozambique,2297842,1643520.0,7.35,5.26,654322.0,2.09,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2.0
138,Myanmar,4683410,2837220.0,8.61,5.22,1846190.0,3.39,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2.0
139,Namibia,297066,200517.0,11.69,7.89,96559.0,3.8,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2.0
140,Nauru,14790,7612.0,136.52,70.26,7178.0,66.25,"AstraZeneca - Vaxzevria,SII - Covishield",2.0
141,Nepal,9713885,5317483.0,33.34,18.25,4396402.0,15.09,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,SII - Covishield",6.0
142,Netherlands,21881815,11965985.0,125.7,68.74,10702250.0,61.48,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",4.0
143,New Caledonia,149641,80691.0,52.41,28.26,68950.0,24.15,Pfizer BioNTech - Comirnaty,1.0
144,New Zealand,2439089,1541542.0,50.58,31.97,897547.0,18.61,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Novavax - Covavax,Pfizer BioNTech - Comirnaty",4.0
145,Nicaragua,645733,443053.0,9.75,6.69,202680.0,3.06,"Gamaleya - Sputnik V,SII - Covishield",2.0
146,Niger,491738,404246.0,2.03,1.67,87492.0,0.36,"Beijing CNBG - BBIBP-CorV,SII - Covishield",2.0
147,Nigeria,4432282,2994933.0,2.15,1.45,1437349.0,0.7,SII - Covishield,1.0
148,Niue,2352,1202.0,145.37,74.29,1150.0,71.08,Pfizer BioNTech - Comirnaty,1.0
149,North Macedonia,1253612,722579.0,60.17,34.68,531033.0,25.49,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Beijing CNBG - Inactivated, Sinovac - CoronaVac, Gamaleya - Sputnik V",5.0
150,Northern Mariana Islands (Commonwealth of the),66228,34842.0,115.07,60.54,32128.0,55.82,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",3.0
151,Norway,6952976,3865248.0,129.54,72.01,3087728.0,57.53,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",2.0
152,occupied Palestinian territory,1392299,935756.0,27.29,18.34,456543.0,8.95,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",7.0
153,Oman,3752420,1550910.0,73.48,30.37,337002.0,6.6,"AstraZeneca - Vaxzevria,Gamaleya - Sputnik V,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",5.0
154,Pakistan,56768446,43791885.0,25.7,19.83,17455249.0,7.9,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Ad5-nCOV,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",8.0
155,Palau,27703,15821.0,153.12,87.45,14110.0,77.99,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",3.0
156,Panama,4124375,2733279.0,95.59,63.35,1391096.0,32.24,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2.0
157,Papua New Guinea,134444,102739.0,1.5,1.15,31705.0,0.35,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2.5,SII - Covishield",4.0
158,Paraguay,3928259,2266494.0,55.08,31.78,1661765.0,23.3,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",7.0
159,Peru,17703652,9991296.0,53.69,30.3,7712356.0,23.39,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Wuhan CNBG - Inactivated",4.0
160,Philippines,31950423,21999264.0,29.16,20.08,13509894.0,12.33,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Gamaleya - Sputnik V,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",9.0
161,Pitcairn Islands,73,37.0,146.0,74.0,36.0,72.0,AstraZeneca - Vaxzevria,1.0
162,Poland,36286614,19284686.0,95.6,50.81,18787636.0,49.5,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",4.0
163,Portugal,14689967,8626459.0,142.68,83.79,7510917.0,72.95,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",4.0
164,Puerto Rico,4178736,2309719.0,146.07,80.74,1990063.0,69.56,"Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",3.0
165,Qatar,4438210,2134729.0,154.05,74.1,1816789.0,63.06,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Pfizer BioNTech - Comirnaty",4.0
166,Republic of Korea,42048131,28622306.0,82.01,55.83,14602951.0,28.48,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2.5,Moderna - mRNA-1273,Novavax - Covavax,Pfizer BioNTech - Comirnaty",5.0
168,Romania,9771316,5246235.0,50.55,27.14,5135003.0,26.57,"Janssen - Ad26.COV 2.5, Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",4.0
169,Russian Federation,80244526,43771190.0,54.99,29.99,36473336.0,24.99,"SRCVB - EpiVacCorona, Gamaleya - Sputnik V",2.0
